,Address,Latitude,Longitude
0,100 Stadium Dr,30.448089,-84.30649439999999
1,1003 Sharer Ct,30.48631589999999,-84.2933106
2,1005 High Rd,30.45358179999999,-84.313154
3,1005 Sharer Ct,30.48601,-84.29328600000001
4,1007 Sharer Ct,30.48654,-84.29285999999999
5,1008 Redbud Ave,30.4741089,-84.3051172
6,101 Americana St,30.3988076,-84.2828304
7,1010 Basin St,30.45319139999999,-84.3078823
8,1011 Sharer Ct,30.4581871,-84.3073708
9,1019 Dewey St,30.4521764,-84.2937693
10,1023 Clay St,30.4536869,-84.30166369999999
11,104 Dixie Dr,30.4418412,-84.3278682
12,1042 Rushwood Ln,30.595837,-84.2642089
13,106 Dixie Dr,30.4422843,-84.32825869999999
14,106 W 7th Ave,30.4581531,-84.2822341
15,1065 Lacey Ln,30.4483609,-84.3827676
16,110 Dixie Dr,30.4425748,-84.32875179999999
17,1100 Greentree Ct,30.454329,-84.31189110000001
18,1104 Joe Louis St,30.4550215,-84.30501439999999
19,1106 Basin St,30.4549425,-84.3068028
20,1107 Rockbrook Ct,30.430729,-84.2102068
21,111 Columbia Dr,30.4421528,-84.32316259999999
22,1111 Bonnie Dr,30.4563663,-84.33027229999999
23,1111 Linwood Dr,30.4565668,-84.3317928
24,1113 Beachum Dr,30.4329723,-84.2383964
25,1117 Doves Hollow Ln,30.4497795,-84.38133049999999
26,1117 Gibbs Dr,30.4542933,-84.2916618
27,1123 Idlewild Dr,30.4300117,-84.21604339999999
28,1124 Ocala Rd,30.4536348,-84.3184976
29,1126 Abraham St,30.4548333,-84.3012115
30,1128 Ocala Rd,30.4539001,-84.31995669999999
31,1131 Fernwood Rd,30.44979399999999,-84.37853849999999
32,1160 Gum Trl,30.4464665,-84.36471329999999
33,11709 Old Woodville Rd,30.279134,-84.2411024
34,118 Ridge Rd,30.3978672,-84.28389969999999
35,118 W 8th Ave,30.4592278,-84.282707
36,1193 Gearhart Ln,30.4794798,-84.35810719999999
37,1195 Elm Rd,30.45256839999999,-84.38046829999999
38,120 Ridge Rd,30.3978466,-84.2841979
39,120 Valencia Dr,30.4425387,-84.32275159999999
40,120 Westridge Dr,30.440903,-84.3078305
41,120 White Dr,30.442641,-84.326454
42,1207 N M L King Jr Blvd,30.4545302,-84.2855672
43,1216 Carraway St,30.4560554,-84.256894
44,122 S Franklin Blvd,30.4411532,-84.2755505
45,1221 Volusia St,30.4580177,-84.3022393
46,1228 Volusia St,30.4583873,-84.302486
47,123 Locke St,30.4710755,-84.2777716
48,123 White Dr,30.44212529999999,-84.32562850000001
49,1231 Continental Ct,30.454732,-84.31831799999999
50,1235 Chee Ln,30.4546941,-84.3193916
51,1239 N Adams St,30.4561186,-84.2813498
52,1253 Chee Ln,30.4552623,-84.3195429
53,1303 Ocala Rd,30.4578044,-84.3174289
54,1304 Rumba Ln,30.4570272,-84.31966899999999
55,1306 Jackson St,30.4565796,-84.28855709999999
56,1310 Pawnee Pointe Ct,30.5097384,-84.2565535
57,1312 Hancock St,30.4506296,-84.303296
58,1314 Jackson St,30.4568836,-84.28858799999999
59,1314 Stone Rd,30.4763637,-84.305405
60,1316 Colorado St,30.4549746,-84.3085705
61,1316 Rumba Ln,30.457574,-84.319577
62,1317 Hancock St,30.4499551,-84.30351379999999
63,1318 Kings Dr,30.4246435,-84.2283834
64,132 Dixie Dr,30.4429354,-84.3287929
65,1321 Rumba Ln,30.4578766,-84.31894109999999
66,1323 1/2 Jackson St,30.4570971,-84.2880842
67,1323 Volusia St,30.4579846,-84.3036441
68,1324 Burgess Dr,30.4524092,-84.3481662
69,1324 Hancock St,30.4507283,-84.3037605
70,1325 Burgess Dr,30.4525696,-84.3476152
71,1325 W Tharpe St,30.4624111,-84.30425389999999
72,1325 Westheaven Ct,30.4296684,-84.36824159999999
73,1327 High Rd,30.4595401,-84.31144809999999
74,1329 Dura Cir,30.4596326,-84.3383673
75,1334 N Adams St,30.4576329,-84.2821313
76,1338 Nylic St,30.4514711,-84.3043361
77,1340 Rumba Ln,30.4582355,-84.3196444
78,1343 Rumba Ln,30.458703,-84.3190114
79,1351 Rumba Ln,30.45848239999999,-84.31832969999999
80,1357 Robin Kay Rd,30.58966299999999,-84.25446749999999
81,1358 Linda Ann Dr,30.4290671,-84.24444629999999
82,137 Henderson Rd,30.4856719,-84.2854625
83,1370 Ocala Rd,30.4596071,-84.3191758
84,1375 Pullen Rd,30.4769287,-84.30653559999999
85,1380 Ocala Rd,30.45956219999999,-84.31968959999999
86,1401 Alabama St,30.4560728,-84.3059806
87,1401 Raa Ave,30.4676187,-84.3064328
88,1403 Dawson Dr,30.3767609,-84.3031027
89,1403 Stone Rd,30.4759062,-84.3067411
90,1404 Raa Ave,30.468042,-84.3073989
91,1405 Balboa Dr,30.3900264,-84.3026916
92,1407 McCauley Rd,30.4587266,-84.2477797
93,1408 Nylic St,30.4514362,-84.305399
94,141 Locke St,30.4710505,-84.278224
95,1412 Arkansas St,30.4572152,-84.3105848
96,1412 Fuller Rd,30.493694,-84.3121992
97,1417 Pullen Rd,30.4778506,-84.3081389
98,1418 Nylic St,30.4514871,-84.3062478
99,1419 Kingford Ave,30.4382559,-84.28073289999999
100,1419 Nashville Dr,30.4578931,-84.3689603
101,1420 N Meridian Rd,30.458827,-84.2776482
102,1421 Oldfield Dr,30.4838134,-84.25179179999999
103,1429 Colorado St,30.4581806,-84.30803610000001
104,1429 Deerhaven Ln,30.4626921,-84.3303134
105,1430 Calloway St,30.4583584,-84.3059394
106,1432 Balboa Dr,30.3904443,-84.3050761
107,1432 N Bronough St,30.4590414,-84.28459889999999
108,1433 Moonstone Way,30.3883251,-84.29943320000001
109,1438 Lynn Ln,30.42434059999999,-84.22271309999999
110,1438 N Meridian Rd,30.4594082,-84.277607
111,1440 Hudson St,30.4290553,-84.28303609999999
112,1447 Stone Rd,30.4748621,-84.3085088
113,1449 Crescent Hills Dr,30.4649395,-84.365685
114,1467 Millstream Rd,30.4988109,-84.2579021
115,1469 Nashville Dr,30.46023259999999,-84.3675639
116,1475 Auburn Ct,30.38008629999999,-84.29598969999999
117,1491 Nashville Dr,30.4612889,-84.36666369999999
118,1495 Nashville Dr,30.4614226,-84.3665578
119,1500 Stone Rd,30.4763974,-84.3102971
120,1501 Branch St,30.4594033,-84.28903
121,1501 Crescent Hills Dr,30.465123,-84.36565999999999
122,1506 Fuller Rd,30.4937033,-84.3134977
123,1512 High Rd,30.46036,-84.31419799999999
124,1512 Sandtrail Ln,30.3878692,-84.29952569999999
125,1513 Branch St,30.4596841,-84.2890403
126,1514 Green St,30.4597453,-84.2867807
127,1514 Merry Oaks Ct,30.4798769,-84.3099039
128,1518 Mabry St,30.4275787,-84.3300052
129,1520 Pullen Rd,30.478189,-84.31073599999999
130,1521 Arnold St,30.4275227,-84.3312997
131,1522 Coombs Dr,30.4629697,-84.24942569999999
132,1525 S Bronough St,30.4277384,-84.2842082
133,1536 Crescent Hills Dr,30.465587,-84.366118
134,1537 Patrick Ave,30.4314473,-84.34526989999999
135,1542 Rankin Ave,30.4311568,-84.34477679999999
136,1552 Country Ln,30.4609266,-84.3441895
137,1555 Delaney Dr,30.5068976,-84.2418665
138,1559 Payne St,30.4628399,-84.2689278
139,1561 Blountstown St,30.4618128,-84.3462314
140,1561 Patrick Ave,30.4301248,-84.3452904
141,1561 Rankin Ave,30.4299762,-84.3444482
142,157 Locke St,30.4710703,-84.2786764
143,1585 Fuller Rd,30.4935675,-84.31638079999999
144,1586 Three Lantern Ln,30.414276,-84.25025
145,1594 Misty Garden Way,30.486308,-84.32020790000001
146,1596 Van Delia Rd,30.42559769999999,-84.3677385
147,1597 Crescent Hills Dr,30.466462,-84.365658
148,1600 Pullen Rd,30.4788133,-84.3140275
149,1600 W Call St,30.4479062,-84.30817669999999
150,1603 Oak Ridge Rd,30.3239072,-84.3038529
151,1605 Indiana St,30.4587546,-84.30885830000001
152,1606 Airport Dr,30.4329004,-84.3074194
153,1606 Indiana St,30.4591583,-84.30885830000001
154,161 Locke St,30.4710793,-84.27888209999999
155,1614 Airport Dr,30.43292009999999,-84.3078716
156,1615 Green St,30.46064,-84.28628499999999
157,1618 Sharkey St,30.431822,-84.3073783
158,1618 Stanley Ave,30.4282537,-84.3440373
159,1620 Smittys Way,30.4114916,-84.14823109999999
160,1625 Kelly St,30.4258574,-84.33117639999999
161,1625 Talpeco Rd,30.4926687,-84.3183948
162,1630 Balkin Rd,30.385317,-84.304626
163,1632 Baldwin Park Dr,30.433058,-84.35029800000001
164,1635 Corey Wood Cir,30.437399,-84.363542
165,1659 Corey Wood Cir,30.43678,-84.363534
166,1675 Corey Wood Cir,30.436356,-84.363528
167,1694 Summer Meadow Pl,30.48027339999999,-84.3251764
168,1704 Cordell Dr,30.4624022,-84.2958252
169,1705 De Saix Blvd,30.4725536,-84.3581617
170,1705 S Calhoun St,30.4266845,-84.27908769999999
171,1707 W Call St,30.44721669999999,-84.3091255
172,1710 Eisenhower St,30.424535,-84.3358609
173,1712 Corey Wood Cir,30.435453,-84.363935
174,1712 De Saix Blvd,30.4727868,-84.3584251
175,1717 Bordeaux Blvd,30.47310019999999,-84.35940099999999
176,1720 Burgandy Blvd,30.4382559,-84.28073289999999
177,1721 Bernay Blvd,30.47309959999999,-84.36063229999999
178,1724 Bordeaux Blvd,30.4731709,-84.3597399
179,1729 Biscay Blvd,30.4729176,-84.3599923
180,1729 De Saix Blvd,30.47338169999999,-84.3581887
181,1730 San Damian Rd,30.4818119,-84.32755999999999
182,1732 Red Top Cir,30.3150147,-84.2503874
183,1733 Biscay Blvd,30.4729754,-84.35999269999999
184,1734 Hartsfield Rd,30.4728937,-84.31428439999999
185,1748 Hartsfield Rd,30.4731176,-84.3147446
186,1755 San Damian Rd,30.4802797,-84.3289367
187,1801 Fairlane Rd,30.4640081,-84.3177578
188,1802 Falconcrest St,30.463878,-84.329951
189,1805 Westridge Dr,30.4444874,-84.3118592
190,1808 Westridge Dr,30.4449916,-84.3121058
191,1809 Sylvan Ct,30.473896,-84.314633
192,1818 Medart Dr,30.4676966,-84.32575179999999
193,1819 W Pensacola St,30.4397201,-84.31208529999999
194,182 Sinclair Rd,30.4839441,-84.2813293
195,1824 Falconcrest St,30.464604,-84.32995199999999
196,1825 Nena Hills Dr,30.4406671,-84.3629538
197,1826 Portland Ave,30.478253,-84.31892920000001
198,1827 Aaron Rd,30.4682548,-84.32466269999999
199,1831 Sylvan Ct,30.4738336,-84.315271
200,1832 Nena Hills Dr,30.440493,-84.363323
201,1835 W Call St,30.4474943,-84.3125735
202,1844 Nena Hills Dr,30.440171,-84.36331899999999
203,1845 Bellevue Way,30.4369998,-84.3124552
204,1848 Meriadoc Rd,30.4676734,-84.3282017
205,1850 Ivy Ln,30.4414675,-84.3133287
206,1853 W Pensacola St,30.440388,-84.3128827
207,1855 Meriadoc Rd,30.468019,-84.327753
208,1858 Meriadoc Rd,30.4681254,-84.32819239999999
209,1861 Gina Dr,30.467249,-84.32980099999999
210,1861 Ivy Ln,30.4410296,-84.3138323
211,1862 W Pensacola St,30.4406708,-84.3138323
212,1863 Nekoma Ct,30.4613028,-84.3479402
213,1866 Meriadoc Rd,30.468498,-84.328197
214,1873 Nena Hills Dr,30.439478,-84.362907
215,1876 Nekoma Ct,30.461381,-84.34847599999999
216,1893 Nena Hills Dr,30.4389599,-84.36289839999999
217,1902 Botany Dr,30.4639881,-84.31884699999999
218,1902 High Rd,30.465868,-84.312986
219,1904 Heritage Grove Cir,30.4449839,-84.3155381
220,1904 Myrick Rd,30.4687006,-84.31995669999999
221,1905 Portland Ave,30.4773494,-84.3206154
222,1906 Dahlia Dr,30.4432884,-84.31522989999999
223,1906 Hideaway Ct,30.4741969,-84.3205321
224,1906 Honolulu Ln,30.460127,-84.35062599999999
225,1908 Croydon Dr,30.4660432,-84.31144809999999
226,1909 Nena Hills Dr,30.43855,-84.362894
227,1910 Gloria Dr,30.4663011,-84.33803859999999
228,1911 Dawsey St,30.465082,-84.2888964
229,1912 Raa Ave,30.4678483,-84.32098429999999
230,1916 Bloomington Ave,30.460194,-84.349704
231,1917 Honeysuckle Dr,30.4436596,-84.3160314
232,1917 Nanticoke Cir,30.4699763,-84.3183537
233,1922 Crosby Ct,30.4619794,-84.3475089
234,1924 Honolulu Ln,30.46030099999999,-84.351174
235,1924 W Pensacola St,30.4408571,-84.3155381
236,1933 Bellevue Way,30.4376147,-84.31576419999999
237,1933 Nena Hills Dr,30.437845,-84.36287999999999
238,1933 Portland Ave,30.4772977,-84.3218035
239,1936 Blackburn Ave,30.4391542,-84.31609309999999
240,1936 Saddle Brook Dr,30.4860419,-84.3253202
241,1938 Nena Hills Dr,30.437707,-84.36328499999999
242,1940 Heritage Grove Cir,30.4464751,-84.3142433
243,1940 Portland Ave,30.4777466,-84.32172410000001
244,1941 Portland Ave,30.4772832,-84.32206769999999
245,1941 S Martin Luther King Jr Blvd,30.4229776,-84.2853177
246,1944 Heritage Grove Cir,30.4458416,-84.3146338
247,1946 Nena Hills Dr,30.4375,-84.363283
248,1950 N Point Blvd,30.4879744,-84.2439524
249,1951 N Meridian Rd,30.4662086,-84.27620859999999
250,1952 Heritage Grove Cir,30.4457266,-84.3161136
251,1953 Sabra Dr,30.4709355,-84.3218474
252,1955 Mary Ellen Dr,30.4696185,-84.3307654
253,1964 Register Rd,30.3196559,-84.244993
254,1965 Ann Arbor Ave,30.461551,-84.34881
255,1967 Rob Way,30.4700094,-84.3315051
256,2000 E Dellview Dr,30.4678189,-84.28431100000002
257,2000 N Meridian Rd,30.4697644,-84.2779463
258,2000 Spotted Deer Dr,30.4383838,-84.3659212
259,2001 Crabapple Dr,30.4418869,-84.3160108
260,2003 Bradford Ct,30.4679965,-84.2735144
261,2003 Coffee Ln,30.595837,-84.2642089
262,2003 N Meridian Rd,30.4680582,-84.27696949999999
263,2004 Crabapple Dr,30.4423156,-84.3165863
264,2005 Nena Hills Dr,30.435976,-84.36286000000001
265,2006 Corvallis Ave,30.462693,-84.35029
266,2007 Ann Arbor Ave,30.462669,-84.34880799999999
267,2009 Chuli Nene,30.4215903,-84.25498069999999
268,2010 Bradford Ct,30.468811,-84.27419309999999
269,2011 Bradford Ct,30.4688306,-84.2736172
270,2012 Woodstock Ln,30.4977717,-84.3295734
271,2013 Pecan Ct,30.4681424,-84.3389924
272,202 Columbia Dr,30.4434678,-84.3240051
273,2020 Continental Ave,30.4557578,-84.31522989999999
274,2025 Harold Ct,30.4393654,-84.3188881
275,203 Henderson Rd,30.4858314,-84.283982
276,203 Juniper Dr,30.4425957,-84.3158053
277,2038 Eastgate Way,30.49345,-84.24103040000001
278,2039 N Meridian Rd,30.4691646,-84.275098
279,204 Tropicaire St,30.4009238,-84.2912198
280,2040 Page Rd,30.3181105,-84.2429236
281,2047 Summer Ln,30.4009714,-84.3105344
282,206 Westminister Dr,30.4426195,-84.312743
283,2060 Continental Ave,30.4567101,-84.3170179
284,2063 Pats Pl,30.468725,-84.238573
285,2069 Dellwood Dr,30.4707532,-84.28116469999999
286,2076 Natural Wells Dr,30.2969284,-84.2411127
287,2079 Hanover Ct,30.4899154,-84.34691320000002
288,2079 Watson Way,30.4689627,-84.23786129999999
289,208 Atkinson Dr,30.440016,-84.3113207
290,209 Americana St,30.3987682,-84.2850101
291,2095 Continental Ave,30.45468799999999,-84.316828
292,210 Dixie Dr,30.4433804,-84.3287107
293,210 Westridge Dr,30.4426505,-84.3088172
294,2100 Continental Ave,30.4559002,-84.31858009999999
295,2109 Escambia Dr,30.4414567,-84.32262829999999
296,2110 Autumn Ln,30.40263179999999,-84.31421809999999
297,2110 Monday Rd,30.413683,-84.24120200000002
298,2124 Corinne St,30.4707422,-84.2380465
299,2125 Jackson Bluff Rd,30.4335424,-84.3206349
300,2126 Willie Vause Rd,30.4714792,-84.3410997
301,2129 Palace Pl,30.4946141,-84.1372267
302,2129 Pecan Ln,30.4714606,-84.34274309999999
303,2131 N Meridian Rd,30.4708908,-84.277136
304,2132 Loyal Ln,30.473336,-84.3245378
305,214 Cactus St,30.4446349,-84.3338474
306,214 Columbia Dr,30.44376919999999,-84.32423109999999
307,214 White Dr,30.4440253,-84.32625519999999
308,2140 Loyal Ln,30.4731773,-84.3245422
309,215 Dixie Dr,30.443946,-84.32727229999999
310,215 Hayden Rd,30.4394013,-84.3068233
311,2150 Corinne St,30.4707577,-84.2368735
312,2150 E Park Ave,30.4418875,-84.24632179999999
313,2150 Vereen Ln,30.2774033,-84.2413185
314,2156 Claremont Ln,30.441621,-84.24024849999999
315,216 Dixie Dr,30.4438862,-84.3295121
316,2161 Escambia Dr,30.44130269999999,-84.3222964
317,2165 Escambia Dr,30.4417077,-84.3223632
318,217 Westridge Dr,30.443144,-84.30830329999999
319,217 White Dr,30.4440632,-84.3253202
320,2176 Victory Garden Ln,30.4448865,-84.2387771
321,2177 Del Carmel Way,30.4733956,-84.34275749999999
322,2179 Castor Ct,30.4723233,-84.3239329
323,2181 Timberwood Cir,30.448555,-84.32284299999999
324,2187 Timberwood Cir,30.448683,-84.323003
325,2188 W Pensacola St,30.4412809,-84.3227105
326,2191 Timberwood Cir,30.4502587,-84.32467290000001
327,220 Belmont Rd,30.444738,-84.258865
328,2200 Sandpiper St,30.464145,-84.327066
329,2202 W Pensacola St,30.441062,-84.32377269999999
330,2203 Timberwood Cir,30.44903,-84.323576
331,2203 W Pensacola St,30.4399102,-84.3221351
332,2206 Oxford Rd,30.4363483,-84.32275159999999
333,2210 Mandrell Ct,30.4995626,-84.3305189
334,2211 Timberwood Cir,30.449265,-84.3237379
335,2212 Willie Vause Rd,30.4724587,-84.3409353
336,2215 Timberwood Cir,30.4493439,-84.3237482
337,2220 Sandpiper St,30.4642915,-84.3272798
338,2222 Amelia Cir,30.4473543,-84.3231215
339,2224 Parrot Ln,30.463709,-84.327823
340,2225 Mandrell Ct,30.4990716,-84.331464
341,2227 Sandpiper St,30.464643,-84.3270946
342,2230 Mission Rd,30.4530773,-84.32476539999999
343,224 Hayden Rd,30.4393132,-84.3084061
344,2241 W Pensacola St,30.4405579,-84.3240677
345,226 Columbia Dr,30.4443685,-84.3240873
346,2263 Parrot Ln,30.464201,-84.328135
347,2265 Nannas Loop,30.4732511,-84.3307654
348,2268 Sandpiper St,30.464591,-84.327984
349,227 Westridge Dr,30.4439639,-84.3091049
350,228 W 2nd Ave,30.4519173,-84.28374029999999
351,2288 Nannas Loop,30.472232,-84.33156679999999
352,2289 Hartsfield Rd,30.47374869999999,-84.3260949
353,229 Columbia Dr,30.4447778,-84.3231831
354,2297 Hartsfield Way,30.0983679,-85.482476
355,2299 Del Carmel Way,30.473477,-84.34347
356,2301 Old Bainbridge Rd,30.47256029999999,-84.3088259
357,2302 Pontiac Dr,30.416804,-84.2665418
358,2304 Sabal Ct,30.4362366,-84.3243133
359,2305 Skyland Dr,30.4713981,-84.3226899
360,2305 Spoonwood Dr,30.4719654,-84.2960719
361,2306 Talley Ln,30.474241,-84.34325670000001
362,2307 S Meridian St,30.4179884,-84.2768073
363,2309 Don Andres Ave,30.45598889999999,-84.3257107
364,231 Ross Rd,30.3814526,-84.2841054
365,2311 Tina Dr,30.4350339,-84.2433439
366,2311 Via Sardina St,30.474971,-84.337182
367,2313 Brynmahr Dr,30.4752043,-84.33805919999999
368,2313 Sylvan Ct,30.4732382,-84.3139556
369,2314 Jackson Bluff Rd,30.4348368,-84.3251353
370,2315 Atapha Nene,30.4172732,-84.2624072
371,2315 Brynmahr Dr,30.4754518,-84.3380797
372,2315 Columbia Ct,30.4425692,-84.32455569999999
373,2316 Columbia Ct,30.4431537,-84.32451879999999
374,2317 Green Timbers Trl,30.452375,-84.32493099999999
375,2319 Trimble Rd,30.47615399999999,-84.3356554
376,232 Chapel Dr,30.4440605,-84.3113248
377,232 Gaile Ave,30.3984141,-84.27690779999999
378,2322 Timber Oaks Ln,30.451346,-84.325311
379,2323 Hartsfield Way,30.4720246,-84.3249812
380,2323 Parrot Ln,30.4642742,-84.3285315
381,2324 La Rue Ct,30.4722428,-84.31865169999999
382,2325 W Pensacola St,30.4406436,-84.3249886
